wall,epoch,loss,val_acc,ema_val_acc,seconds
13:19:09,1,1.5608,0.988,0.9887,382
13:24:59,2,1.0861,0.9859,0.988,350
13:30:46,3,1.0269,0.9824,0.9873,347
13:36:33,4,0.9798,0.9859,0.9866,347
13:42:20,5,0.9653,0.9859,0.9873,347
13:48:07,6,0.9508,0.9866,0.9873,347
13:53:55,7,0.9197,0.9859,0.9887,347
13:59:41,8,0.9288,0.9866,0.9873,347
14:05:29,9,0.9113,0.9852,0.9873,347
14:11:16,10,0.8983,0.9873,0.9873,347
14:17:03,11,0.8987,0.9887,0.9873,347
14:22:49,12,0.8854,0.9894,0.9894,347
14:28:36,13,0.8542,0.9887,0.9894,347
14:34:24,14,0.8716,0.9894,0.9894,347
14:40:11,15,0.869,0.9894,0.9901,347
14:45:58,16,0.8503,0.9894,0.9901,347
