wall,epoch,loss,val_acc,ema_val_acc,seconds
09:35:22,1,1.5479,0.988,0.9915,418
09:42:04,2,1.1732,0.9873,0.993,401
09:48:46,3,1.1231,0.9859,0.9922,402
09:55:27,4,1.0682,0.9838,0.9915,401
10:02:08,5,1.0618,0.9831,0.9894,401
10:08:49,6,1.0336,0.9887,0.9922,401
10:15:31,7,0.9843,0.9901,0.9922,402
10:22:12,8,0.9787,0.9894,0.9915,401
10:28:54,9,0.9615,0.9866,0.9887,401
10:35:35,10,0.9352,0.9908,0.9894,401
10:42:17,11,0.924,0.988,0.9908,401
10:48:58,12,0.9268,0.9887,0.9894,401
10:55:39,13,0.872,0.9894,0.9887,401
11:02:21,14,0.8621,0.9887,0.988,401
11:09:03,15,0.9039,0.9894,0.9887,402
11:15:44,16,0.8558,0.9901,0.9894,401
