wall,epoch,loss,val_acc,ema_val_acc,seconds
16:51:14,1,1.7335,0.9507,0.9845,137
16:53:04,2,1.6709,0.8238,0.9669,110
16:54:54,3,1.675,0.8802,0.9591,110
16:56:43,4,1.5599,0.8717,0.9549,109
16:58:33,5,1.4694,0.9013,0.9464,110
17:00:23,6,1.3552,0.9035,0.9464,110
17:02:13,7,1.3147,0.9331,0.95,110
17:04:02,8,1.2269,0.9154,0.9556,110
17:05:52,9,1.1777,0.9225,0.9528,110
17:07:41,10,1.1291,0.9309,0.9528,110
17:09:31,11,1.0918,0.945,0.9549,110
17:11:20,12,1.0754,0.9464,0.9542,110
17:13:10,13,0.9957,0.9514,0.9528,110
17:15:00,14,0.9507,0.9563,0.9556,110
17:16:49,15,0.9666,0.957,0.9563,109
17:18:39,16,0.9706,0.9591,0.957,109
