wall,epoch,loss,val_acc,ema_val_acc,seconds
17:24:50,1,1.7504,0.9746,0.9859,143
17:26:39,2,1.3769,0.9605,0.9859,109
17:28:28,3,1.3607,0.9429,0.9774,109
17:30:17,4,1.2749,0.9648,0.9838,109
17:32:05,5,1.2207,0.9725,0.9803,108
17:33:54,6,1.1335,0.9598,0.9831,109
17:35:43,7,1.1187,0.9662,0.9803,109
17:37:32,8,1.0558,0.9704,0.9803,109
17:39:21,9,1.0374,0.9767,0.981,109
17:41:10,10,1.0134,0.9767,0.981,109
17:43:00,11,0.9891,0.9803,0.9831,110
17:44:48,12,1.0022,0.9838,0.9831,109
17:46:37,13,0.9385,0.9824,0.9824,108
17:48:25,14,0.9054,0.9838,0.9831,108
17:50:14,15,0.9249,0.9838,0.9831,109
17:52:03,16,0.9322,0.9852,0.9838,109
