wall,epoch,loss,val_acc,ema_val_acc,seconds
18:23:01,1,1.557,0.9725,0.9852,223
18:26:16,2,1.2975,0.957,0.9845,195
18:29:32,3,1.285,0.9619,0.9838,196
18:32:47,4,1.1948,0.9549,0.976,195
18:36:02,5,1.1624,0.9528,0.9782,195
18:39:18,6,1.144,0.9612,0.9774,195
18:42:33,7,1.0808,0.9612,0.9767,195
18:45:49,8,1.0654,0.9774,0.981,195
18:49:04,9,1.0245,0.9739,0.9782,195
18:52:19,10,1.0058,0.9767,0.9789,195
18:55:34,11,0.9782,0.9746,0.9782,195
18:58:50,12,0.9623,0.9725,0.9782,195
19:02:05,13,0.9046,0.9782,0.9774,195
19:05:21,14,0.9144,0.981,0.9782,195
19:08:36,15,0.9128,0.9831,0.9796,195
19:11:51,16,0.8985,0.9817,0.9817,195
