wall,epoch,loss,val_acc,ema_val_acc,seconds
04:01:44,1,1.8768,0.9937,0.9958,548
04:10:54,2,1.0841,0.993,0.9951,541
04:19:45,3,1.0124,0.9944,0.9965,531
04:28:45,4,0.9788,0.9944,0.9937,531
04:37:34,5,0.9598,0.993,0.9944,529
04:46:23,6,0.9126,0.9951,0.9937,529
04:55:13,7,0.9114,0.9951,0.9944,530
05:04:02,8,0.884,0.9944,0.9944,529
05:12:52,9,0.8871,0.9937,0.9944,529
05:21:41,10,0.8954,0.9958,0.9951,529
05:30:31,11,0.8958,0.9951,0.9951,530
05:39:20,12,0.9183,0.9951,0.9951,529
05:48:10,13,0.8734,0.9958,0.9951,529
05:56:58,14,0.8491,0.9951,0.9951,528
06:05:47,15,0.8757,0.9951,0.9951,529
06:14:36,16,0.8724,0.9951,0.9958,529
