wall,epoch,loss,val_acc,ema_val_acc,seconds
08:29:45,1,1.6376,0.9944,0.9958,1047
08:46:56,2,1.0102,0.9937,0.9958,1022
09:03:53,3,0.9621,0.9937,0.9951,1017
09:20:49,4,0.9213,0.9951,0.9937,1016
09:37:46,5,0.9229,0.9951,0.9944,1018
09:54:43,6,0.9224,0.9951,0.9937,1017
10:11:42,7,0.8786,0.9937,0.9951,1019
10:28:43,8,0.8922,0.9951,0.9951,1021
10:45:41,9,0.8931,0.9937,0.9951,1018
11:02:38,10,0.8758,0.9951,0.9958,1017
11:19:35,11,0.8835,0.9951,0.9958,1017
11:36:33,12,0.8698,0.9958,0.9958,1017
11:53:30,13,0.8341,0.9944,0.9958,1017
12:10:29,14,0.8446,0.9958,0.9958,1019
12:27:54,15,0.8498,0.9958,0.9958,1045
12:44:50,16,0.8399,0.9958,0.9958,1017
