wall,epoch,loss,val_acc,ema_val_acc,seconds
12:43:23,LP1,1.5135,0.9838,,61
12:44:11,LP2,1.2973,0.988,,48
12:47:24,1,1.1984,0.9915,0.9922,193
12:50:38,2,1.1096,0.9937,0.9944,193
12:53:51,3,1.0856,0.9944,0.9951,193
12:57:04,4,1.0073,0.9944,0.9944,193
13:00:17,5,1.0175,0.993,0.9951,193
13:03:31,6,0.9704,0.9915,0.9908,193
13:06:44,7,0.9714,0.9887,0.9915,193
13:09:57,8,0.9661,0.9901,0.9915,193
13:13:10,9,0.9523,0.9908,0.9915,193
13:16:24,10,0.977,0.993,0.9922,193
13:19:37,11,0.9221,0.993,0.9922,193
13:22:56,12,0.8975,0.9937,0.9922,199
13:26:12,13,0.9226,0.9922,0.9944,196
13:29:26,14,0.9195,0.993,0.993,193
13:32:39,15,0.9297,0.993,0.9937,193
13:35:53,16,0.9276,0.993,0.9937,194
