wall,epoch,loss,val_acc,ema_val_acc,seconds
15:57:42,1,1.8627,0.9894,0.9901,206
16:00:56,2,1.1597,0.9915,0.9922,194
16:04:11,3,1.1058,0.9908,0.9937,194
16:07:25,4,1.0595,0.9908,0.9951,194
16:10:39,5,1.0368,0.993,0.993,194
16:13:52,6,0.9805,0.9908,0.9922,193
16:17:06,7,0.9885,0.9922,0.9944,194
16:20:19,8,0.9418,0.9894,0.993,193
16:23:33,9,0.9479,0.9908,0.9937,194
16:26:46,10,0.9444,0.9922,0.993,194
16:30:00,11,0.9374,0.9937,0.993,194
16:33:13,12,0.9631,0.9937,0.9937,194
16:36:27,13,0.9136,0.993,0.9937,194
16:39:41,14,0.89,0.9922,0.993,194
16:42:55,15,0.9268,0.9922,0.9922,194
16:46:08,16,0.9121,0.9922,0.9922,194
