wall,epoch,loss,val_acc,ema_val_acc,seconds
16:14:14,1,1.5173,0.9901,0.9908,216
16:17:36,2,0.8773,0.9852,0.993,199
16:20:56,3,0.8394,0.9901,0.9922,200
16:24:14,4,0.7875,0.9922,0.9951,198
16:27:34,5,0.7608,0.993,0.9937,193
16:30:47,6,0.7216,0.9922,0.9951,193
16:34:00,7,0.7234,0.9922,0.9944,193
16:37:13,8,0.6816,0.9944,0.9951,193
16:40:26,9,0.6863,0.993,0.9937,193
16:43:39,10,0.6815,0.9937,0.9937,193
16:46:53,11,0.674,0.993,0.9944,193
16:50:06,12,0.6896,0.9951,0.9937,193
16:53:19,13,0.6553,0.9958,0.9951,194
16:56:38,14,0.6295,0.9951,0.9951,199
16:59:51,15,0.6606,0.9951,0.9951,193
17:03:05,16,0.65,0.9944,0.9951,193
