wall,epoch,loss,val_acc,ema_val_acc,seconds
14:47:00,1,1.8914,0.9887,0.9908,323
14:52:01,2,1.1839,0.9908,0.9937,300
14:57:02,3,1.0924,0.9873,0.9922,301
15:02:02,4,1.0784,0.9894,0.993,300
15:07:02,5,1.0226,0.988,0.9915,300
15:12:01,6,1.0265,0.9866,0.9908,300
15:17:01,7,0.9767,0.9915,0.993,300
15:22:01,8,0.9554,0.9901,0.9908,300
15:27:00,9,0.975,0.9894,0.9908,299
15:32:00,10,0.9348,0.9915,0.9901,300
15:37:00,11,0.9791,0.9908,0.9922,300
15:41:59,12,0.8912,0.993,0.9922,299
15:46:59,13,0.9259,0.9894,0.9915,300
15:51:59,14,0.9145,0.9901,0.9915,300
15:57:02,15,0.9184,0.9908,0.9908,303
16:02:01,16,0.9077,0.9908,0.9908,299
