wall,epoch,loss,val_acc,ema_val_acc,seconds
21:15:11,1,1.6383,0.9894,0.9908,376
21:21:14,2,1.0884,0.9908,0.9908,363
21:27:17,3,1.0344,0.9859,0.9937,363
21:33:21,4,0.9975,0.9901,0.9951,363
21:39:24,5,0.9965,0.9922,0.993,363
21:45:27,6,0.9898,0.9937,0.993,363
21:51:31,7,0.9396,0.9937,0.9944,363
21:57:34,8,0.9492,0.9922,0.9944,363
22:03:37,9,0.9452,0.9944,0.9944,363
22:09:40,10,0.9212,0.9944,0.9951,363
22:15:43,11,0.9231,0.9944,0.9951,363
22:21:46,12,0.91,0.9951,0.9951,363
22:27:49,13,0.8695,0.9951,0.9951,363
22:33:54,14,0.8854,0.9951,0.9944,365
22:39:58,15,0.8863,0.9951,0.9951,364
22:46:03,16,0.8685,0.9951,0.9951,365
