wall,epoch,loss,val_acc,ema_val_acc,seconds
15:44:24,1,1.5549,0.988,0.9915,285
15:48:58,2,1.1739,0.981,0.9915,273
15:53:29,3,1.1596,0.9824,0.9922,271
15:58:09,4,1.1006,0.9866,0.993,280
16:02:42,5,1.0682,0.9859,0.9915,272
16:07:13,6,1.0217,0.9873,0.993,272
16:11:45,7,1.0106,0.9873,0.993,272
16:16:17,8,0.9669,0.9866,0.9915,272
16:20:49,9,0.9413,0.9894,0.993,272
16:25:21,10,0.9706,0.9887,0.9915,272
16:29:53,11,0.934,0.9887,0.9887,272
16:34:25,12,0.9424,0.9887,0.9887,272
16:38:57,13,0.8757,0.9887,0.988,272
16:43:29,14,0.885,0.9866,0.9887,272
16:48:01,15,0.8988,0.9873,0.988,272
16:52:33,16,0.8766,0.9873,0.9866,272
