wall,epoch,loss,val_acc,ema_val_acc,seconds
17:56:34,1,1.4029,0.9859,0.9908,529
18:05:21,2,1.131,0.9824,0.9951,526
18:14:21,3,1.1138,0.9817,0.9887,540
18:24:05,4,1.0609,0.9796,0.9894,583
18:33:54,5,1.0443,0.9824,0.9894,589
18:43:37,6,1.0379,0.9873,0.9887,584
18:52:16,7,0.9721,0.9866,0.9908,519
19:00:54,8,0.9778,0.9789,0.9887,518
19:09:35,9,0.9603,0.9908,0.9915,520
19:18:17,10,0.9292,0.9915,0.9922,522
19:26:56,11,0.9128,0.9894,0.9922,519
19:35:40,12,0.9179,0.9894,0.9922,525
19:44:35,13,0.8672,0.9908,0.9908,534
19:53:21,14,0.8717,0.9908,0.9908,527
20:02:06,15,0.8871,0.9915,0.9915,525
20:10:44,16,0.8572,0.9915,0.9915,518
