wall,epoch,loss,val_acc,ema_val_acc,seconds
14:43:37,1,1.9183,0.9387,0.9718,168
14:46:12,2,1.4762,0.9457,0.9746,155
14:48:48,3,1.4512,0.9352,0.9711,156
14:51:24,4,1.3706,0.9598,0.9718,157
14:54:00,5,1.31,0.9408,0.9739,156
14:56:35,6,1.2141,0.9612,0.9774,155
14:59:10,7,1.1944,0.9556,0.9767,155
15:01:45,8,1.1228,0.9584,0.9789,155
15:04:20,9,1.0996,0.9619,0.9753,155
15:06:55,10,1.0751,0.9662,0.9767,155
15:09:30,11,1.0423,0.9669,0.9774,155
15:12:05,12,1.0519,0.976,0.9789,155
15:14:40,13,0.9842,0.976,0.976,155
15:17:15,14,0.9452,0.9782,0.9774,155
15:19:50,15,0.9778,0.9767,0.9767,155
15:22:25,16,0.9792,0.9774,0.9774,155
