wall,epoch,loss,val_acc,ema_val_acc,seconds
19:33:28,1,1.7947,0.9626,0.9739,231
19:37:08,2,1.3623,0.9493,0.9767,219
19:40:47,3,1.327,0.9507,0.9774,219
19:44:25,4,1.2598,0.9612,0.9767,218
19:48:04,5,1.1909,0.9626,0.9767,218
19:51:42,6,1.1346,0.9641,0.9739,218
19:55:20,7,1.12,0.9648,0.9782,218
19:58:58,8,1.0455,0.9648,0.9782,218
20:02:37,9,1.0144,0.9612,0.9767,218
20:06:15,10,1.0447,0.9718,0.9774,218
20:09:53,11,1.0,0.9718,0.9753,218
20:13:30,12,0.9836,0.9725,0.9746,218
20:17:08,13,0.9153,0.9732,0.976,218
20:20:46,14,0.9174,0.9774,0.9774,218
20:24:25,15,0.9221,0.9746,0.9767,218
20:28:03,16,0.9116,0.9746,0.976,218
